applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Google Contacts saved to Google Drive Spreadsheet.,Saves New Google Contacts to a spreadsheet in Google Drive.,New contact added,Add row to spreadsheet,/google_contacts,/google_sheets,3.1k
Log new items in Raindrop.io to a Google Sheet,Title | URL | Tags | CreatedAt,New item,Add row to spreadsheet,/raindrop,/google_sheets,1.1k
Put all your completed tasks in a Google Spreadsheet,Document your accomplishments and completed tasks one-by-one in a Google spreadsheet.,New completed task,Add row to spreadsheet,/todoist,/google_sheets,8.2k
Sync all your new iOS Contacts to a Google Spreadsheet,Automatically save new iOS Contacts you add to a Google spreadsheet for easy sorting and searching.,Any new contact,Add row to spreadsheet,/ios_contacts,/google_sheets,306.9k
"Call Log, Answered Call","This is part of a 3 recipe series to log all calls, (Missed, Placed, and Received) to the same Google Spreadsheet.",Any incoming phone call ends,Add row to spreadsheet,/android_phone,/google_sheets,2.1k
Log WiFi connections/disconnections,Log WiFi connections/disconnections,Connects or disconnects from any WiFi network,Add row to spreadsheet,/android_device,/google_sheets,11.4k
Automatically log every call you make on your Android phone to a Google spreadsheet,Every call you make will be automatically logged to a spreadsheet in Google Drive for safe record keeping.,Any outgoing phone call ends,Add row to spreadsheet,/android_phone,/google_sheets,69.3k
Log all google calendar entries in a Google Spreadsheet,Logs all newly created events into a spreadsheet in Google Drive.,New event added,Add row to spreadsheet,/google_calendar,/google_sheets,1.2k
Back up new texts you receive on your Android device to a Google Spreadsheet,Keep a record of your messages. No more endless scrolling! Every time you receive a new text message it will be automatically added to a Google Spreadsheet.,Any new SMS received,Add row to spreadsheet,/android_messages,/google_sheets,29.5k
"Call Log, Missed call","This is part of a 3 recipe series to log all calls, (Missed, Placed, and Received) to the same Google Spreadsheet.",Any incoming phone call missed,Add row to spreadsheet,/android_phone,/google_sheets,12.2k
Google Calendar Events to Spreadsheet,Add your events to a spreadsheet and then export for analysis or do it right inside Google Sheets!,Any event starts,Add row to spreadsheet,/google_calendar,/google_sheets,289
Track your liked videos in Sheets,"Add a row to a Google Sheet every time you like a new video. Simple way to track the videos you like, easy to reference and search the file.",New liked video,Add row to spreadsheet,/youtube,/google_sheets,831
Send an email to add a line to a google drive spreadsheet,Send an email to add a line to a google drive spreadsheet,Send IFTTT any email,Add row to spreadsheet,/email,/google_sheets,1.2k
Send weight measurements to Google Sheets,Send weight measurements to Google Sheets,When I have a new weight,Add row to spreadsheet,/withings,/google_sheets,952
Save the Tweets you like on Twitter to a Google Spreadsheet,A great way to archive and organize the Tweets you like on Twitter.,New liked tweet by you,Add row to spreadsheet,/twitter,/google_sheets,4.1k
Track work hours in a Google Spreadsheet,Keep track of your work hours by entering the number of hours your worked or when you started/ended at the end of every day. It will be stored in a Google Spreadsheet so you don't have to bother with it.,Any new note,Add row to spreadsheet,/do_note,/google_sheets,10.9k
Save notifications from all of your apps to a Google spreadsheet,This Applet will collect every notification you receive from all of your apps (except for the IFTTT app) and add to a Google Drive spreadsheet.,Notification received,Add row to spreadsheet,/android_device,/google_sheets,6.5k
Automatically add your saved tracks in Spotify to a Google spreadsheet,Keep track of your listening habits by automatically saving all new saved tracks to a Google spreadsheet.,New saved track,Add row to spreadsheet,/spotify,/google_sheets,15.8k
Automatically log work hours in a spreadsheet,Record your work hours automatically when you enter your workplace.,You enter an area,Add row to spreadsheet,/location,/google_sheets,2.6k
Automatically save your Strava activities to a Google spreadsheet,This Applet will save all the info about your new Strava activities to a Google spreadsheet.,New activity by you,Add row to spreadsheet,/strava,/google_sheets,11.9k
Log motion from Ring into Google Drive,Keep a log of any movement at your front door through Google Drive.,New Motion Detected,Add row to spreadsheet,/ring,/google_sheets,1.9k
Save your Fitbit sleep logs to a Google Spreadsheet,Keep a record of your sleep patterns by automatically saving your Fitbit sleep logs into a Google spreadsheet.,New sleep logged,Add row to spreadsheet,/fitbit,/google_sheets,13.1k
Trello Cards to Google Sheet,Adds any cards that have been added to a particular board in Trello to your Google Spreadsheet,Card added to board,Add row to spreadsheet,/trello,/google_sheets,601
SMS Timeline 2/2,"This is the second half of a 2 part recipe.With both recipes all SMS messages received and sent are recorded in a spreadsheet in Google Drive.
Other half is here: https://ifttt.com/recipes/165475-sms-timeline",Any new SMS sent,Add row to spreadsheet,/android_messages,/google_sheets,1.5k
Log my card purchases to a spreadsheet,Keep a handy record of all your spending in a Google Sheet.,Any card purchase,Add row to spreadsheet,/monzo,/google_sheets,2.7k
Track my bedtime in a Google Spreadsheet,"Every time Withings Sleep detects you get into bed, the time will be logged in a Google Spreadsheet.",When I get into bed,Add row to spreadsheet,/WithingsSleep,/google_sheets,995
Add row to Google Sheets using MESH,This Action will add a single row to the bottom of the first worksheet of the spreadsheet you specify. NOTE: A new spreadsheet is created after 2000 rows.,Event from MESH app received,Add row to spreadsheet,/mesh,/google_sheets,2.1k
Log Tempest data to Google Sheets,"Log data every 1minute to Google Sheets file.  Columns = Timestamp, AirTemp, Humidity, Pressure, WindAvg, WindDir, WindLull, WindGust, Rain, UV, Brightness, SolarRadiation, LightningStrikeCount, HeatIndex, DewPoint, WetBulbTemperature, DeltaT, AirDensity, TimestampEpoch, StationName",New observation,Add row to spreadsheet,/weatherflow,/google_sheets,364
Log Device Turning On to a Google Spreadsheet,Automatically log every time a device turns on to a Google spreadsheet.,Device turned On/Off,Add row to spreadsheet,/sense_energy_monitor,/google_sheets,402
Google スプレッドシートに新しい行が追加されたらChatworkに通知,Google スプレッドシートに新しい行が追加された場合、追加された行の情報（A列〜J列までの値）をグループチャットに通知します。,New row added to spreadsheet,Post a message,/google_sheets,/chatwork,154
Youtube Uploads to Google Doc,Youtube Uploads to Google Doc,New public video uploaded by you,Add row to spreadsheet,/youtube,/google_sheets,203
Track every time the ISS passes over your house,Keep track of every time the ISS flys above your home in outer space!,ISS passes over a specific location,Add row to spreadsheet,/space,/google_sheets,5.3k
Keep a log of every time your hearing aid loses its connection,"Every time the Bluetooth connection between your hearing aid and mobile phone is lost, this Applet will add a row a Google Sheet named Oticon Activity Log.",Connection is lost,Add row to spreadsheet,/oticon,/google_sheets,1.4k
Track when I get out of bed in a Google Spreadsheet,"Every time Withings Sleep detects you get out of bed, the time will be logged in a Google Spreadsheet.",When I get out of bed,Add row to spreadsheet,/WithingsSleep,/google_sheets,614
MyQ open history,"When your garage door is opened, this applet will log activity to a spreadsheet.

This applet requires an active account linking subscription.",Door opened,Add row to spreadsheet,/myq_devices,/google_sheets,542
Log doorbell rings in a Google Drive spreadsheet,Keep a complete log of all your Ring doorbell activity in a Google Drive spreadsheet.,New Ring Detected,Add row to spreadsheet,/ring,/google_sheets,3.1k
Keep a Spreadsheet Log of Each Blink Motion Alert,Append a Google Sheet on your Drive (blink/blink-alerts) with camera name and date/time for every motion alert on a Blink System.,Motion detected,Add row to spreadsheet,/blink,/google_sheets,409
Add new scheduled Calendly events to a Google Sheets spreadsheet,This Applet will track new scheduled Calendly events in a Google Sheets spreadsheet.,New event scheduled,Add row to spreadsheet,/calendly,/google_sheets,18
Keep a log of every time your hearing aid has a low battery,"Every time your hearing aid has a low battery, this Applet will add a row a Google Sheet named Oticon Activity Log.",Battery is low,Add row to spreadsheet,/oticon,/google_sheets,1.8k
