applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Get ready for bed,Turn off your LIFX lights and WeMo Insight switch by pressing the pusher on your Kronaby watch.,Pusher pressed,Turn lights off,/kronaby,/lifx,
Get ready for bed,Turn off your LIFX lights and WeMo Insight switch by pressing the pusher on your Lotus watch.,Pusher pressed,Turn lights off,/lotus_watches,/lifx,
Get ready for bed,Turn off your LIFX lights and WeMo Insight switch by pressing the pusher on your Festina watch.,Pusher pressed,Turn lights off,/festina_watches,/lifx,
Get ready for bed,Turn off your LIFX lights and WeMo Insight switch by pressing the pusher on your Jaguar watch.,Pusher pressed,Turn lights off,/jaguar_watches,/lifx,
Green Light Signal,The Green Light Signal is a UK service that you connect your smart bulb to. It will make your bulb turn green every time the electricity in your area is generated with lowest possible CO2 levels. Simply put: when it turns green you can plug-in!,If CO2 Level Is Low,Change color of lights,/green_light_signal,/lifx,130
Blink your lights!,Choose the number of blinks and the color to get this party started!,Button press,Blink lights,/do_button,/lifx,1.2k
Switch LIFX on/off,Switches LIFX on/off to make it look like you are at home.,Every day at,Turn lights off,/date_and_time,/lifx,85
Connect LIFX Lights,Allows Hue Lights to be turned on/off dimmed from Wireless Tag and KumoApp scripts.,Turn lights on,Turn lights off,/lifx,/lifx,9
Alexa timer with hue,If your Alexa timer goes off your hue starts blinking,Your Timer goes off,Blink lights,/amazon_alexa,/lifx,3
Switch on LIFX lights,"Turn your lights on to their default color and brightness. Add a Fade in Duration to keep things nice and gentle, or choose ""instant"" if you're in a hurry!",Button press,Turn lights on,/do_button,/lifx,597
Alexa toggle LIFX  bulb,"Ask Alexa ""what's on my shopping list""  to toggle lights on / off.",Ask what's on your Shopping List,Toggle lights on/off,/amazon_alexa,/lifx,40
iHome - Begin Lifx Scene,Press the iH button on your iHome device to begin Lifx scene.,iHome Enhance button is pressed,Activate scene,/ihome_enhance,/lifx,
"Alexa, turn on my lights","I use this recipe to toggle my LIFX video set scene using Alexa. The command I use is: ""Alexa, trigger video lights."" It sets the lamp in my video set to violet.

Using multiple recipes with same phrase, you can trigger several actions while only speaking one command to Alexa.",Say a specific phrase,Activate scene,/amazon_alexa,/lifx,11
It's Almost 420 Alarm ;),Reminder just for fun ;). You can choose to change to just Green but I have found that Pastel Green transitions better.,Every day at,Breathe lights,/date_and_time,/lifx,7
Voice activate LIFX bulb,Turn on your LIFX through Alexa voice command,Ask what's on your To Do List,Toggle lights on/off,/amazon_alexa,/lifx,194
Toggle LIFX lights on/off,Toggle your LIFX lights on and off by pressing the pusher on your Festina watch.,Pusher pressed,Toggle lights on/off,/festina_watches,/lifx,
Toggle LIFX lights on/off,Toggle your LIFX lights on and off by pressing the pusher on your Kronaby watch.,Pusher pressed,Toggle lights on/off,/kronaby,/lifx,52
Toggle LIFX lights on/off,Toggle your LIFX lights on and off by pressing the pusher on your Lotus watch.,Pusher pressed,Toggle lights on/off,/lotus_watches,/lifx,
Turn on your lights with August Smart Lock,Turn on a LIFX light when a specific person comes home and unlocks a designated August Smart Lock.,Lock unlocked by specific person,Turn lights on,/augusthome,/lifx,278
